price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
200,2,27,0.39,2,0,0
444,1,447,6.27,6,338,42
619,1,0,,1,88,0
1111,2,0,,1,365,0
290,5,44,0.64,1,163,11
392,7,16,0.23,5,269,3
398,14,12,0.17,5,314,0
250,2,3,0.04,2,363,0
400,1,11,0.16,3,125,0
764,20,3,0.04,3,179,0
500,2,31,0.45,3,179,2
363,30,2,0.03,2,0,0
390,7,6,0.08,2,18,0
500,2,49,0.69,2,359,5
379,1,5,0.08,1,365,0
406,1,155,2.62,3,263,13
210,2,3,0.04,2,171,1
500,1,0,,1,364,0
1000,2,51,0.74,1,188,1
600,1,2,0.06,1,364,1
521,1,272,3.83,2,327,53
250,2,2,0.03,1,362,0
710,2,5,0.07,1,364,0
700,2,1,0.03,1,365,0
500,2,20,0.28,2,259,6
1200,1,4,0.06,1,364,0
450,2,6,0.1,3,170,0
219,4,13,0.23,2,179,0
370,3,4,0.07,5,365,1
516,1,331,4.65,2,319,74
263,5,34,0.48,4,290,10
254,7,14,0.22,2,233,1
750,2,119,1.69,1,66,6
205,28,21,0.3,8,19,3
1500,1,0,,1,365,0
404,2,184,2.65,4,147,45
330,1,6,0.11,2,355,0
700,1,17,0.24,1,365,0
1599,1,0,,1,364,0
994,1,0,,1,364,0
429,2,0,,2,178,0
700,2,12,0.17,2,364,0
360,1,0,,2,178,0
270,2,25,0.37,2,365,0
786,20,3,0.07,3,365,0
900,2,39,0.56,2,268,5
700,3,0,,1,358,0
750,2,18,0.28,1,362,0
350,2,20,0.31,1,324,6
200,1,8,0.14,1,327,0
380,2,29,0.45,7,297,9
500,16,2,0.03,1,358,0
264,2,72,1.03,1,293,8
350,30,0,,6,195,0
343,2,1,0.02,1,179,0
350,3,0,,1,90,0
295,2,8,0.23,1,90,0
680,2,39,0.56,1,89,1
200,1,108,1.55,1,202,0
280,2,28,0.44,3,233,1
240,3,22,0.31,2,293,0
608,2,171,2.45,1,305,13
500,2,154,2.26,4,324,0
313,4,261,3.97,3,321,19
200,5,37,0.53,3,340,3
450,2,137,2.52,4,293,3
550,1,6,0.09,1,263,0
530,4,134,1.89,3,75,22
3635,3,4,0.06,2,362,0
500,1,37,0.53,1,319,0
221,1,213,3.06,3,321,44
471,1,89,1.33,3,86,16
909,3,16,0.24,2,170,0
1700,1,24,0.34,8,356,0
205,1,126,1.81,2,316,23
500,1,7,0.1,1,364,1
250,2,0,,2,356,0
304,1,0,,6,324,0
232,1,0,,6,324,0
350,2,0,,1,87,0
700,1,6,0.09,1,365,0
340,3,46,0.66,4,292,7
642,2,20,0.29,2,359,6
360,5,2,0.04,5,361,0
250,1,47,0.78,2,362,7
308,2,223,3.15,2,320,44
707,1,216,3.1,1,317,27
427,15,25,0.36,2,303,4
285,1,16,0.23,1,342,2
280,1,10,0.14,2,303,0
450,3,21,0.31,1,158,6
450,2,27,0.39,1,118,0
747,2,69,1.02,1,1,0
554,1,129,2.27,2,138,21
680,3,6,0.09,1,355,2
600,1,64,0.92,1,147,12
385,1,1,0.1,1,173,1
608,2,7,0.1,1,324,0
200,2,17,0.26,2,138,0
750,4,111,1.61,8,345,19
400,2,4,0.06,7,363,0
345,1,8,0.18,1,89,1
7500,2,0,,1,364,0
380,1,295,4.24,2,4,0
1313,1,0,,1,179,0
700,30,0,,1,362,0
950,1,73,1.05,8,362,6
300,1,3,0.13,1,171,0
1217,2,0,,1,178,0
440,2,19,0.28,1,0,0
450,5,5,0.07,2,233,0
529,2,4,0.06,1,358,0
507,1,1,0.01,1,365,0
230,6,4,0.06,1,293,1
199,3,0,,1,365,0
1420,1,3,0.08,1,170,2
222,1,81,1.18,3,357,31
360,7,4,0.06,2,203,0
235,15,7,0.1,6,350,2
390,2,33,0.55,2,299,13
350,1,10,0.3,9,348,2
1136,1,1,0.02,1,363,0
250,2,22,0.34,2,311,7
640,1,11,0.16,2,365,2
580,2,85,1.26,2,162,30
363,1,93,1.37,2,151,14
450,2,49,0.72,1,365,0
290,2,32,0.5,1,171,0
608,1,253,3.73,3,106,0
512,13,18,0.26,2,294,0
665,2,230,3.53,5,221,19
30422,5,0,,1,309,0
324,2,4,0.07,1,0,0
500,5,2,0.04,1,358,0
279,29,0,,1,88,0
1941,3,21,0.32,10,239,1
350,1,0,,1,364,0
500,1,8,0.12,1,364,0
320,5,0,,1,0,0
326,1,39,0.61,1,324,0
1200,2,0,,1,180,0
400,2,42,0.64,2,365,3
900,1,0,,5,365,0
400,2,10,0.18,1,363,5
450,1,227,3.29,1,23,9
350,30,0,,1,353,0
250,15,7,0.11,2,0,1
2873,1,35,0.51,8,264,3
450,5,0,,1,365,0
235,1,18,0.27,3,340,1
420,2,5,1.32,1,364,5
339,3,44,0.98,1,130,10
3760,5,1,0.02,2,83,0
250,3,19,0.29,5,263,0
450,3,0,,2,0,0
601,2,2,0.03,2,364,0
350,20,1,0.01,1,317,0
265,2,8,0.12,5,172,0
1000,1,0,,1,173,0
225,1,178,2.59,1,338,0
10000,2,35,0.89,1,179,0
280,3,23,0.34,5,325,5
894,2,183,2.9,5,247,16
304,1,52,0.75,1,49,0
1832,1,18,0.27,8,245,0
2092,1,7,0.11,8,270,0
250,2,0,,1,365,0
2092,1,9,0.14,8,273,0
250,3,8,0.12,2,180,1
526,3,1,0.02,6,350,0
2092,1,11,0.16,8,259,1
1832,1,11,0.28,8,266,1
640,1,94,1.37,8,362,17
1283,1,64,0.93,12,285,3
290,1,21,0.34,11,365,6
250,2,11,0.17,5,172,3
