price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
600,1,0,,1,83,0
310,1,76,1.49,2,322,7
2361,2,0,,2,339,0
700,1,0,,1,365,0
796,3,26,0.56,10,332,15
1420,2,130,2.54,10,175,9
450,30,28,0.54,1,88,0
230,1,53,1.03,1,0,0
1014,1,24,0.48,6,277,3
568,3,0,,2,177,0
700,3,0,,1,364,0
350,2,30,0.59,1,356,0
1014,1,31,0.62,6,287,6
275,2,24,0.48,1,364,3
913,1,49,0.95,6,279,19
400,3,21,0.41,1,141,13
913,1,31,0.6,6,282,6
400,1,0,,1,89,0
200,8,1,0.02,1,364,0
408,1,149,3.43,1,331,48
350,2,2,0.04,1,153,0
500,7,0,,1,365,0
183,7,0,,1,365,0
360,4,38,0.74,2,250,7
427,180,1,0.03,1,363,0
603,2,213,4.19,2,76,50
500,1,2,0.04,3,170,0
210,1,9,0.21,2,0,0
356,1,110,2.57,1,0,42
485,1,86,1.7,1,361,31
450,1,30,0.58,1,171,0
212,1,6,0.13,3,325,2
210,1,23,0.46,2,0,0
269,1,96,1.87,9,339,22
206,1,9,0.24,3,354,4
250,3,5,0.1,1,170,0
480,2,61,1.21,2,180,7
185,180,0,,1,180,0
392,2,7,0.14,1,49,2
385,1,3,0.06,1,20,0
350,1,3,0.06,1,362,0
422,1,465,9.03,4,177,95
903,1,101,2.13,7,161,18
497,1,103,2.15,1,167,41
250,1,0,,2,34,0
350,3,1,0.02,1,358,0
220,1,2,0.05,1,202,0
534,1,69,1.42,11,0,15
350,2,0,,1,90,0
2500,1,8,0.18,17,270,3
350,2,36,0.71,2,0,0
444,2,6,1.96,1,101,6
500,2,2,0.04,1,365,0
200,15,4,0.08,1,138,0
695,1,12,0.25,7,90,3
200,360,0,,1,0,0
329,3,0,,4,340,0
275,1,0,,1,179,0
609,1,46,0.9,12,282,4
500,2,21,0.41,1,364,0
3500,1,1,0.02,1,365,0
280,1,15,0.3,3,12,0
600,1,2,0.05,1,180,0
639,2,2,0.04,2,263,0
557,1,99,1.95,12,288,25
750,7,1,0.02,5,365,0
800,1,1,0.02,2,363,0
2000,1,0,,1,180,0
500,1,125,2.47,2,359,24
600,7,0,,2,365,0
587,2,110,2.75,3,6,6
550,2,14,0.39,2,80,2
409,1,0,,2,160,0
1002,1,15,0.29,1,360,6
790,1,0,,3,363,0
650,1,11,0.22,2,364,0
514,2,141,2.78,1,234,41
500,3,1,0.02,1,364,0
400,1,0,,1,88,0
406,1,14,0.49,6,354,10
370,1,1,0.03,2,89,0
909,3,4,0.09,2,18,0
319,3,24,0.5,18,210,9
300,2,1,0.02,1,364,0
950,2,0,,1,0,0
450,1,1,0.03,1,83,0
320,1,20,0.4,1,75,5
500,2,2,0.04,1,49,0
3231,1,0,,22,365,0
811,2,1,0.02,1,364,0
500,1,29,0.58,1,0,0
300,3,0,,2,365,0
446,1,261,5.19,4,172,51
225,3,15,0.48,2,174,10
600,2,102,2.07,2,337,27
245,1,55,1.09,2,202,0
325,3,0,,3,0,0
600,1,14,0.57,1,178,2
357,3,83,1.66,1,2,31
450,1,0,,1,359,0
1820,2,3,0.07,3,174,0
600,1,26,0.51,3,355,0
390,2,14,0.28,1,180,0
900,5,0,,1,87,0
1420,1,0,,2,180,0
250,1,18,0.36,1,140,0
490,3,28,0.61,2,309,0
250,3,4,0.14,2,365,0
210,2,16,0.32,1,112,0
5553,1,1,0.08,3,365,0
6341,1,0,,3,365,0
450,1,6,0.15,1,24,1
450,1,0,,1,83,0
269,2,36,0.71,1,170,14
240,1,25,0.52,3,0,0
1115,5,59,1.2,1,293,10
400,3,10,0.2,1,0,1
370,1,42,0.84,1,78,0
550,2,5,0.11,3,174,2
250,1,1,0.04,3,170,0
235,2,80,1.62,1,170,1
670,3,1,0.55,3,120,1
322,1,264,5.35,7,83,94
330,1,98,2.01,1,24,3
250,1,8,0.18,3,119,0
300,1,9,0.19,1,141,0
1118,5,0,,2,364,0
764,2,0,,1,178,0
1414,1,0,,1,179,0
600,5,2,0.04,2,364,0
312,3,19,0.41,18,0,2
231,2,16,0.32,3,48,0
420,2,74,1.49,2,183,19
338,1,1,0.06,1,364,0
200,1,17,0.87,4,306,9
750,3,14,0.28,1,364,0
200,1,7,0.14,4,289,4
909,5,29,0.58,3,254,2
720,2,52,1.04,2,176,13
300,1,7,0.3,1,364,6
505,9,0,,1,179,0
200,1,1,0.43,3,170,1
235,2,23,0.47,3,171,1
909,5,55,1.11,3,252,12
414,1,208,4.22,4,177,51
490,1,46,0.95,1,89,17
349,1,27,0.56,2,135,11
540,2,9,0.23,1,170,0
231,1,39,0.8,3,48,0
224,1,35,0.73,3,0,1
539,1,147,3.01,7,359,30
284,7,11,0.23,2,157,4
380,1,22,0.46,1,0,0
200,1,12,0.24,2,324,2
507,2,96,1.97,3,345,48
710,1,0,,2,352,0
650,2,8,0.16,1,172,0
214,1,18,0.38,2,16,10
200,1,8,0.16,1,171,0
215,1,2,0.06,2,1,0
700,1,4,0.09,3,171,0
700,1,7,0.14,3,356,0
386,1,21,0.46,2,293,1
500,3,0,,1,365,0
350,1,1,0.04,1,365,0
600,1,1,0.02,2,180,0
550,1,29,0.59,2,18,0
340,6,0,,2,362,0
289,2,236,5.07,1,246,67
2650,1,2,0.04,1,90,0
1043,1,182,3.72,1,58,25
552,1,144,3.06,4,356,34
350,2,19,0.38,3,11,3
365,28,1,0.02,7,355,0
500,5,9,0.18,1,89,0
200,6,0,,1,365,0
350,30,28,0.58,5,140,0
1250,1,1,0.03,35,360,0
700,1,1,0.02,1,179,0
548,2,62,1.28,3,320,19
714,8,8,0.16,1,88,0
20282,2,0,,1,90,0
1035,2,123,2.47,2,346,44
575,1,58,1.2,1,356,12
400,1,0,,1,363,0
300,1,0,,1,179,0
500,5,44,0.9,5,324,1
380,1,50,1.02,20,86,24
505,1,0,,2,270,0
399,1,20,0.4,18,360,3
850,1,10,0.2,1,0,0
808,2,1,0.02,3,364,0
3143,1,0,,1,365,0
900,1,4,0.09,4,281,0
600,1,1,0.02,1,179,0
211,1,13,0.26,1,171,0
563,2,0,,1,358,0
549,5,2,0.05,1,364,0
380,1,0,,1,365,0
1000,3,0,,1,180,0
650,1,65,1.32,7,90,8
250,1,0,,3,17,0
1355,2,22,0.45,1,79,0
930,1,37,0.82,1,17,11
200,1,2,0.05,1,358,1
470,2,34,0.71,12,202,5
646,4,145,2.98,1,154,52
300,1,12,0.24,1,0,1
400,2,48,0.97,1,361,14
500,3,4,0.08,2,295,2
400,1,11,0.24,5,360,0
650,1,0,,4,242,0
3500,1,0,,1,364,0
899,3,15,1.97,1,310,15
600,5,30,0.67,4,0,0
440,1,27,0.55,5,0,5
391,1,122,2.53,6,281,6
400,6,6,0.12,4,365,3
700,1,7,0.15,4,292,0
1000,3,0,,1,89,0
1100,2,1,0.13,1,362,1
500,1,19,0.39,1,0,5
500,1,0,,1,179,0
1400,1,0,,1,364,0
545,1,11,0.23,7,316,3
467,1,1,0.02,2,179,0
250,3,19,0.39,5,329,5
521,1,138,2.93,2,360,21
600,1,11,0.23,1,175,0
300,29,1,0.02,1,310,0
500,1,59,1.23,2,171,14
559,2,103,2.15,8,0,6
478,1,23,3.33,7,342,23
688,1,219,4.53,29,313,67
350,7,0,,1,365,0
600,1,0,,1,364,0
550,1,23,0.47,1,108,6
401,3,13,0.29,18,365,7
364,3,23,0.48,18,251,10
230,180,0,,1,180,0
500,1,13,0.29,3,346,0
500,1,15,0.34,3,346,4
700,2,0,,1,88,0
323,6,18,0.38,4,0,0
300,1,15,0.31,2,355,2
310,5,1,0.03,1,78,0
720,2,41,0.86,3,333,2
975,2,5,0.18,9,345,4
380,3,15,0.32,1,345,8
329,3,4,0.08,4,360,0
3042,4,13,0.27,1,365,2
2209,1,0,,10,344,0
2209,1,0,,10,355,0
3500,2,0,,1,0,0
380,6,1,0.03,4,364,0
1918,1,14,0.29,2,365,4
234,2,3,0.08,1,151,2
304,2,11,0.23,5,365,7
480,1,56,1.16,7,323,22
800,1,0,,1,338,0
500,1,1,0.02,1,179,0
2000,1,0,,1,89,0
680,3,3,0.07,2,359,0
350,1,0,,1,88,0
400,1,18,0.38,1,360,1
600,1,4,0.09,15,180,2
900,1,9,0.2,15,180,0
900,1,56,1.18,15,180,21
270,2,72,1.51,4,354,34
900,1,7,0.15,15,180,1
320,6,8,0.2,4,0,1
240,30,1,0.02,1,358,0
300,1,94,1.98,2,294,1
297,6,10,0.24,4,364,5
330,6,8,0.18,4,364,1
2726,1,2,0.06,5,78,0
692,3,122,2.89,1,139,36
800,1,2,0.09,5,308,1
10303,1,6,0.13,2,365,5
800,1,14,0.3,5,358,5
209,5,31,0.78,3,356,5
250,2,20,0.42,2,18,0
350,5,6,0.13,1,363,1
304,1,3,0.07,5,364,0
578,1,1,0.02,1,180,0
304,1,6,0.13,5,325,0
600,1,0,,15,180,0
600,1,1,0.02,15,180,0
600,1,6,0.15,15,365,3
600,1,2,0.07,15,180,1
600,1,1,0.02,15,180,0
250,1,1,0.03,1,140,0
1800,1,3,0.07,4,360,1
900,1,9,0.2,15,180,2
900,1,37,0.81,15,180,8
900,1,27,0.59,15,180,5
620,1,9,0.19,6,320,0
720,2,47,0.98,3,327,3
900,1,11,0.25,15,180,1
900,1,19,0.43,15,180,5
366,1,118,2.45,2,353,59
650,2,33,0.8,2,333,15
1400,1,36,0.81,15,180,10
394,1,85,1.78,28,234,3
492,2,56,1.17,1,62,3
500,2,15,0.32,2,49,0
430,1,2,0.04,1,0,0
690,2,2,0.04,2,81,0
1567,1,0,,1,365,0
450,2,57,1.31,3,254,2
250,3,41,0.86,3,360,11
320,3,5,0.11,1,363,2
280,2,69,1.46,2,0,3
200,7,0,,1,365,0
450,2,4,0.13,2,176,2
295,1,40,0.83,1,80,0
650,4,0,,3,80,0
420,2,54,1.17,1,115,11
230,2,13,0.28,2,171,0
270,2,54,1.14,4,263,1
284,1,19,0.4,3,51,1
400,1,1,0.02,1,173,0
350,1,0,,1,89,0
3500,1,3,0.06,12,327,1
300,1,4,0.08,1,159,0
303,1,29,0.85,1,83,6
223,2,0,,1,89,0
463,2,151,3.22,1,76,29
295,2,34,0.73,3,161,16
360,1,38,0.94,1,45,3
525,1,50,1.06,2,0,0
303,2,27,0.99,2,80,23
350,1,1,0.03,1,178,0
700,1,0,,1,365,0
814,3,6,0.13,12,318,0
600,2,34,0.74,8,0,2
323,1,62,1.32,1,50,1
215,7,28,0.61,1,144,2
500,1,1,0.07,1,364,0
331,1,387,8.12,2,83,84
260,1,39,0.85,2,263,6
259,1,278,5.84,2,351,56
657,1,41,0.86,28,362,14
550,1,77,1.62,28,172,2
459,3,6,0.13,12,346,1
450,1,77,1.62,28,268,1
300,1,2,0.04,2,364,0
510,2,31,0.66,1,88,7
2929,3,2,0.04,2,365,0
586,3,44,0.94,1,74,12
220,3,85,1.81,4,361,29
450,2,16,0.34,1,365,6
329,2,29,1.67,1,320,25
233,1,1,0.03,3,171,0
300,3,0,,1,362,0
450,2,27,0.59,2,232,7
424,3,3,0.06,1,0,0
295,2,9,0.24,3,7,4
250,2,47,1.14,4,263,14
811,5,80,1.68,1,32,1
300,1,62,1.3,2,154,10
275,2,61,1.34,4,304,30
270,3,109,2.33,4,360,27
329,2,30,0.63,2,80,13
559,3,0,,1,178,0
243,1,2,0.04,5,364,0
221,1,158,3.35,3,359,34
300,1,0,,2,90,0
550,3,26,0.56,1,89,3
235,3,4,0.09,2,324,3
464,3,8,0.18,12,342,1
350,2,1,0.03,2,64,0
350,1,7,0.15,1,364,1
496,1,128,2.71,23,357,44
1200,3,3,0.06,2,365,0
500,2,0,,1,89,0
350,30,0,,1,358,0
890,1,42,0.9,1,365,1
260,5,7,0.17,2,129,1
700,1,6,0.31,2,105,2
200,1,31,0.68,2,176,8
246,7,0,,1,359,0
320,2,36,0.77,3,293,0
300,1,0,,1,0,0
300,2,30,0.65,1,17,0
450,2,21,0.46,3,364,0
200,30,0,,1,365,0
450,2,92,2,1,209,15
399,3,1,0.04,1,363,0
399,2,30,0.64,3,359,6
1131,2,2,0.04,1,362,0
750,1,6,0.13,4,291,0
345,2,0,,6,280,0
6500,30,0,,1,365,0
450,5,2,0.05,1,319,1
299,7,1,0.07,72,133,0
206,5,14,0.3,4,170,4
500,2,53,1.12,2,312,17
1160,1,7,0.16,3,92,1
200,5,2,0.04,1,171,0
350,1,34,0.72,1,341,7
200,30,0,,3,365,0
520,1,5,0.11,1,355,0
300,1,32,0.7,5,362,9
285,2,14,0.3,1,324,3
500,2,110,2.36,1,170,32
400,7,0,,1,365,0
330,1,48,1.04,3,336,12
719,1,13,0.28,23,360,0
890,1,5,0.11,1,179,1
440,2,63,1.36,2,346,7
1500,1,1,0.02,1,177,0
899,2,4,0.1,6,365,0
464,3,10,0.22,12,81,0
550,1,35,0.75,23,363,0
1399,1,3,0.14,15,299,2
246,1,29,0.63,3,359,8
300,1,174,3.69,11,167,36
1199,1,2,0.14,15,299,0
8481,1,1,0.03,5,346,0
8683,1,0,,5,345,0
1599,1,0,,15,356,0
19183,1,0,,5,355,0
8481,1,0,,5,355,0
1899,1,0,,15,356,0
6058,1,0,,5,348,0
200,30,0,,3,90,0
500,10,0,,1,365,0
350,1,103,2.22,18,0,20
999,1,0,,1,365,0
350,4,14,0.33,2,113,2
280,1,3,0.06,1,172,0
500,3,1,1,1,162,1
400,2,132,2.86,2,0,34
200,3,0,,1,365,0
394,1,14,0.3,23,362,0
250,3,21,0.46,2,177,0
625,1,0,,1,89,0
245,1,16,0.35,2,365,5
310,1,69,1.52,5,179,60
220,1,17,0.37,2,263,0
257,1,2,0.05,1,365,0
450,2,11,0.25,1,77,6
850,5,0,,5,0,0
629,1,50,1.17,3,89,10
450,5,61,1.34,1,341,27
407,3,8,0.18,2,66,0
360,1,149,3.24,2,114,80
210,3,17,0.37,2,290,5
1200,1,1,0.04,2,89,0
650,6,0,,1,89,0
380,1,25,0.54,2,331,15
650,1,6,0.8,1,365,6
349,4,3,0.07,1,87,1
400,1,0,,2,362,0
349,1,17,0.37,2,64,0
401,2,208,4.55,2,23,3
250,1,0,,1,363,0
260,1,12,0.27,1,365,2
250,3,12,0.28,1,364,5
1550,1,14,0.33,2,365,7
350,2,24,0.54,1,78,8
640,2,17,0.38,2,257,10
390,1,82,1.81,1,165,29
230,2,9,0.21,1,17,4
494,1,271,5.84,1,360,14
3800,3,0,,1,173,0
410,1,244,5.39,8,360,28
506,1,165,3.64,8,364,17
300,1,2,0.05,1,173,0
1050,2,3,0.11,2,49,1
1700,1,10,0.51,11,350,3
400,3,0,,2,177,0
406,3,2,0.05,3,363,1
1623,2,3,0.07,1,89,0
219,3,46,1,1,331,5
290,1,21,0.47,4,17,0
671,1,195,4.25,8,354,20
200,1,1,0.03,1,177,0
224,2,6,0.14,2,62,0
629,1,11,0.31,3,364,0
460,3,34,0.75,1,86,0
400,2,5,0.11,1,347,0
631,1,82,1.82,28,172,1
390,1,54,1.23,11,357,11
1900,1,2,0.06,2,365,0
260,1,49,1.11,4,335,0
350,2,4,0.1,1,363,0
600,6,0,,2,365,0
600,1,0,,1,90,0
1300,1,2,0.05,1,88,0
1000,2,0,,1,365,0
600,1,1,0.03,2,179,0
629,1,21,0.75,3,355,13
600,1,0,,2,178,0
591,1,53,1.2,23,356,5
1000,1,1,0.03,1,29,0
300,2,85,1.85,2,362,11
550,1,98,2.17,2,0,12
300,1,21,0.52,5,78,0
350,1,14,0.31,9,348,2
350,2,46,1.04,2,361,5
200,90,0,,1,364,0
400,2,46,1.04,1,283,12
300,1,2,0.06,1,89,0
614,3,17,0.38,12,332,0
350,1,1,0.04,9,348,0
435,1,4,0.09,2,364,1
632,2,40,0.9,6,311,1
1329,4,8,0.21,1,356,0
550,1,96,2.1,3,293,1
807,1,66,1.51,3,362,12
216,2,89,1.95,1,172,48
400,1,103,2.23,18,8,47
999,2,5,0.11,1,89,0
200,3,0,,2,364,0
714,5,17,0.38,4,264,4
452,6,6,0.13,1,325,2
250,28,27,0.67,1,142,11
206,4,6,0.21,2,80,1
350,5,23,0.51,2,360,6
300,2,0,,1,364,0
514,2,22,0.49,1,0,0
400,1,3,0.07,1,90,0
500,4,22,0.51,1,172,5
225,2,11,0.28,1,312,0
1533,1,26,0.58,3,364,1
400,1,5,0.11,2,325,0
380,15,0,,1,173,0
600,2,92,2.01,5,140,22
277,1,70,1.58,4,337,26
274,1,111,2.5,4,334,50
366,2,26,0.57,1,83,8
500,1,20,0.44,28,204,0
299,20,0,,1,269,0
348,2,89,2.17,1,75,31
250,5,28,0.62,3,165,2
450,2,88,1.92,1,203,0
500,3,1,0.02,1,365,0
1049,1,1,0.03,28,294,0
490,1,170,3.77,2,362,48
710,1,15,0.36,2,364,0
300,2,0,,1,88,0
200,1,5,0.11,2,108,0
271,1,102,2.25,2,344,16
250,3,0,,2,108,0
1800,1,1,0.02,22,365,0
450,2,5,0.11,3,363,0
350,3,2,0.04,1,89,0
500,4,2,0.05,1,85,0
300,1,0,,1,180,0
580,4,0,,1,90,0
514,2,4,0.09,1,364,0
1000,10,1,0.02,1,180,0
315,1,6,0.21,2,263,2
1900,1,0,,22,365,0
643,1,65,1.44,2,331,14
315,2,59,1.38,1,38,2
390,1,38,0.85,7,0,8
500,1,0,,2,312,0
495,2,45,1,3,363,4
750,1,2,0.05,1,364,0
300,1,28,0.62,5,365,15
500,1,0,,1,179,0
733,1,0,,22,179,0
1600,1,0,,22,179,0
449,1,0,,22,360,0
370,3,4,0.1,1,0,3
500,1,0,,1,358,0
507,1,0,,1,356,0
499,1,42,2.92,22,360,40
1900,1,0,,22,179,0
643,1,57,1.26,28,321,23
457,4,61,1.39,1,50,15
495,2,21,0.52,3,363,1
4132,1,0,,3,365,0
495,2,28,0.62,3,359,5
1900,1,0,,22,179,0
259,1,8,0.18,9,351,6
450,1,74,1.66,2,0,3
1400,1,0,,22,179,0
757,1,3,0.07,2,258,0
1900,1,0,,22,179,0
273,3,29,0.65,1,0,0
260,1,28,0.71,2,293,10
655,2,9,0.2,5,327,0
1900,1,0,,22,179,0
1900,1,0,,22,179,0
450,3,16,1.38,4,323,16
478,1,10,1.32,22,176,10
1900,1,0,,22,365,0
1463,1,3,0.07,22,365,0
264,5,20,0.45,4,89,2
1800,1,2,0.04,22,365,1
1500,10,0,,1,364,0
311,1,0,,1,356,0
300,2,2,0.04,1,364,0
707,2,18,0.41,3,340,1
700,1,0,,1,90,0
450,1,33,0.73,28,294,0
628,1,17,0.38,28,363,0
834,1,25,0.56,3,363,2
593,1,30,0.67,28,361,12
450,1,3,0.1,1,18,0
537,1,45,1,28,329,2
275,7,0,,1,365,0
450,1,6,0.13,2,355,0
225,20,5,0.11,1,363,0
200,30,0,,1,358,0
5476,1,0,,1,365,0
400,3,5,0.12,1,66,0
500,2,8,0.19,3,339,0
390,5,17,0.38,10,140,0
900,1,18,0.41,5,365,9
400,1,1,0.03,2,365,0
400,1,1,0.03,3,176,0
808,3,0,,1,362,0
530,1,4,0.45,5,365,4
486,2,0,,1,365,0
230,1,10,0.23,1,365,0
650,1,0,,1,30,0
300,3,0,,5,272,0
450,1,0,,1,180,0
3000,1,0,,22,179,0
320,2,26,0.58,1,0,0
400,1,0,,3,180,0
1143,1,0,,1,179,0
1115,2,8,0.18,1,364,1
250,3,8,0.18,1,26,0
450,2,10,0.23,1,108,0
220,2,26,0.61,3,263,5
230,5,34,0.77,1,80,6
250,20,0,,3,88,0
350,3,3,0.73,1,37,3
1700,1,5,0.11,4,365,0
400,2,30,0.98,2,200,18
579,3,0,,1,365,0
950,1,32,0.72,1,363,0
464,1,106,2.39,1,2,0
378,1,230,5.32,1,360,61
207,1,173,3.92,1,299,27
560,3,1,0.04,1,89,0
250,1,0,,3,326,0
890,1,0,,1,281,0
250,1,1,0.36,1,363,1
420,31,2,0.05,1,356,0
400,2,0,,2,232,0
1700,1,4,0.09,4,365,0
750,1,0,,1,364,0
205,30,4,0.11,1,364,2
600,1,2,0.05,3,365,0
400,2,23,0.51,3,72,14
935,2,0,,1,89,0
250,1,1,0.32,2,365,1
345,2,0,,1,0,0
3500,2,0,,2,180,0
565,7,0,,1,365,0
590,1,229,5.19,29,344,42
900,1,0,,1,179,0
500,3,0,,2,89,0
404,2,0,,2,0,0
1800,1,0,,22,364,0
300,3,0,,1,51,0
1800,1,0,,22,179,0
675,1,3,0.07,1,364,0
490,2,1,0.02,2,87,0
1900,1,1,0.34,22,179,1
500,1,0,,1,267,0
1501,1,0,,2,78,0
3260,1,1,0.02,3,365,0
1569,2,59,1.35,19,118,17
2500,3,0,,1,365,0
200,30,0,,1,270,0
304,1,17,0.39,2,364,0
550,1,24,0.55,4,364,0
450,1,0,,2,363,0
303,30,12,0.28,2,148,0
325,1,9,0.21,1,81,3
3500,1,0,,1,180,0
608,2,19,0.44,2,171,0
2500,2,5,0.12,1,0,1
548,1,6,0.14,2,365,0
407,2,72,1.68,3,247,29
306,3,8,0.18,1,360,1
350,3,2,0.59,2,151,2
299,1,63,1.45,1,180,13
450,1,57,1.42,2,326,31
500,1,280,6.38,2,287,103
900,3,1,0.02,2,365,0
750,5,12,0.3,1,324,2
450,1,2,0.05,1,365,0
350,3,37,1.22,2,326,23
350,2,1,0.02,2,88,0
393,1,150,3.42,4,86,49
333,1,43,0.99,2,351,17
500,1,16,0.5,1,311,15
220,2,15,0.36,3,10,0
429,2,0,,1,90,0
669,1,18,0.42,3,171,0
550,1,20,0.51,1,176,7
250,7,0,,3,179,0
700,1,0,,1,179,0
1500,3,0,,1,173,0
260,3,0,,1,179,0
350,3,0,,1,158,0
295,2,18,0.42,3,0,9
225,7,0,,3,172,0
690,2,33,0.76,2,18,2
224,7,4,0.13,3,178,1
659,1,18,0.42,28,283,3
1300,4,0,,1,365,0
340,1,9,0.21,1,179,0
400,2,0,,2,47,0
300,4,32,0.73,2,341,6
222,3,0,,1,90,0
505,1,23,0.53,7,323,0
300,1,2,0.05,2,364,0
768,2,0,,1,180,0
800,2,2,0.06,1,107,0
650,2,4,0.47,1,364,4
500,20,0,,3,365,0
250,2,11,0.27,5,365,5
320,1,15,0.35,1,365,0
450,2,8,0.2,1,10,0
349,2,5,0.13,3,176,3
250,9,0,,1,365,0
485,2,23,0.53,1,326,6
392,2,2,0.05,1,264,1
550,2,11,0.26,1,88,2
600,2,5,0.12,13,362,2
875,6,0,,1,179,0
473,3,17,0.57,3,62,2
450,2,0,,1,88,0
250,2,1,0.03,2,364,0
250,2,3,0.09,2,365,1
450,1,20,0.48,2,171,1
590,1,0,,2,363,0
450,1,0,,2,364,0
525,1,101,2.31,1,90,7
390,1,49,1.16,11,364,9
500,2,0,,1,365,0
599,1,106,2.47,1,72,2
1526,1,4,0.14,12,193,0
300,2,2,0.12,1,365,1
390,1,78,1.83,1,168,31
500,1,0,,1,364,0
654,1,78,1.8,4,360,13
620,1,2,0.05,6,313,0
260,30,13,0.31,3,357,2
600,1,4,0.09,3,122,0
512,4,66,1.51,3,76,35
450,1,2,0.12,1,0,0
533,2,0,,2,88,0
222,1,30,0.7,1,202,0
464,3,20,0.48,12,346,8
800,2,1,0.03,2,358,0
300,1,10,0.26,1,139,0
999,2,0,,6,365,0
464,1,27,0.64,1,364,1
280,1,2,0.05,1,89,0
290,1,93,2.14,2,268,35
399,1,6,0.15,1,179,2
350,3,0,,1,179,0
400,3,0,,1,365,0
1900,1,20,0.49,7,364,5
457,1,209,4.88,13,356,59
257,1,38,0.9,1,147,17
4200,1,0,,7,363,0
586,1,6,0.14,1,365,0
390,1,38,0.88,11,356,9
232,1,9,0.22,1,240,0
500,2,9,0.21,1,88,0
500,5,45,1.1,1,325,21
318,1,63,1.85,2,80,28
250,28,2,0.06,8,0,0
303,1,86,2.1,9,174,48
420,2,18,0.44,1,89,3
529,1,106,2.66,9,179,43
550,2,18,0.47,9,326,3
403,1,115,2.7,9,170,36
415,28,8,0.2,1,154,2
470,1,99,2.34,9,172,40
250,1,0,,1,90,0
800,2,193,4.49,3,337,26
326,2,0,,1,365,0
313,3,9,0.21,18,345,1
280,7,6,0.14,2,318,0
299,4,15,0.38,4,1,7
550,2,8,0.22,9,355,2
420,2,18,0.43,3,325,3
300,1,9,0.21,2,179,1
300,1,12,0.29,2,179,8
450,1,134,3.24,2,331,41
225,28,3,0.07,8,30,1
500,3,1,0.03,2,170,0
250,5,22,0.51,4,55,0
300,7,4,0.1,1,354,0
800,1,3,0.32,1,12,3
579,2,3,0.07,1,287,1
799,3,0,,6,365,0
600,1,1,0.03,1,105,0
533,1,145,5.15,2,361,74
250,1,52,1.24,11,360,24
420,4,0,,1,177,0
784,2,10,0.31,9,364,0
430,2,24,0.57,1,25,7
700,1,7,0.17,1,365,0
251,2,93,2.24,2,293,29
700,7,0,,1,180,0
249,2,15,0.44,11,270,1
2800,180,0,,1,365,0
295,3,1,0.16,5,80,1
280,1,32,0.77,4,337,19
268,1,6,0.15,1,136,0
410,3,52,1.31,10,356,21
699,2,145,3.5,1,229,49
365,1,11,0.26,7,194,3
250,3,15,0.36,1,149,2
250,1,9,0.22,2,364,0
350,2,2,0.05,1,358,1
490,1,79,1.91,1,169,2
640,1,63,1.5,3,151,12
250,1,5,0.13,1,324,2
1500,1,3,0.07,1,180,0
348,5,0,,1,90,0
300,1,2,0.06,1,363,0
260,2,8,0.2,1,137,0
400,1,15,0.53,1,359,14
550,1,88,2.17,1,177,34
305,1,124,2.95,3,173,42
450,7,0,,1,179,0
3000,1,0,,7,365,0
450,2,26,0.62,2,60,0
300,3,1,0.04,2,0,0
1000,1,39,1.01,7,365,6
379,2,1,0.02,1,0,0
539,1,115,2.84,2,356,62
450,1,37,0.89,7,365,11
465,2,9,0.22,2,88,0
700,2,0,,4,0,0
5509,1,0,,3,365,0
500,1,35,0.86,7,90,8
500,3,6,0.15,4,265,0
899,1,0,,1,0,0
500,1,12,0.3,7,356,4
811,2,0,,6,118,0
700,1,1,0.13,1,365,1
1000,1,21,0.54,7,365,7
811,2,0,,6,23,0
811,2,0,,6,23,0
350,1,28,0.68,1,0,0
230,5,10,0.26,4,362,3
279,2,0,,2,179,0
483,1,100,2.4,9,160,36
404,1,73,1.89,9,147,33
850,2,1,0.03,1,180,0
369,1,67,1.63,9,171,28
347,1,86,2.11,9,171,41
699,1,138,3.3,6,113,1
387,1,104,2.54,9,178,47
850,1,13,0.36,1,179,1
534,2,77,1.88,1,27,15
210,2,26,0.64,3,171,11
646,1,5,0.12,6,0,1
606,1,9,0.22,6,0,0
320,1,28,0.96,1,315,22
280,1,5,0.16,1,84,4
512,1,46,1.12,28,328,17
842,1,145,3.51,7,173,39
850,1,10,0.24,1,140,0
707,1,8,0.19,6,0,0
275,5,55,1.34,5,352,5
261,2,33,0.8,1,51,0
435,1,30,0.72,2,294,10
399,1,12,0.29,18,365,2
350,1,132,3.16,1,113,22
209,3,6,0.15,3,10,0
550,2,17,0.41,9,355,2
400,1,1,0.03,1,2,0
410,1,0,,1,180,0
270,12,6,0.16,5,171,0
550,1,235,5.63,4,81,70
606,1,2,0.05,6,0,0
707,1,6,0.14,6,0,0
300,12,6,0.15,5,230,3
410,3,10,0.24,1,359,1
750,1,1,0.02,1,88,0
480,1,7,0.2,2,18,0
614,1,40,0.96,28,264,2
200,30,0,,2,364,0
400,2,0,,1,365,0
680,2,3,0.32,2,215,3
913,2,1,0.02,1,179,0
606,2,0,,1,80,0
400,1,0,,1,269,0
1131,2,43,1.05,7,357,15
550,2,25,0.61,1,0,8
430,1,57,1.38,3,171,5
404,3,8,2.79,1,131,8
350,1,0,,4,365,0
505,14,8,0.19,1,61,4
276,1,93,2.37,2,39,32
719,2,57,1.39,7,332,25
267,1,1,0.02,1,170,0
