,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
4178,390.0,1.0,4.0,1.01,7.0,362,4.0
4179,389.0,1.0,3.0,0.11,7.0,357,2.0
4180,350.0,1.0,5.0,1.3,7.0,357,5.0
4181,400.0,2.0,2.0,0.26,7.0,365,2.0
4182,669.0,1.0,1.0,0.04,29.0,333,0.0
4183,200.0,7.0,0.0,1.3,3.0,87,0.0
4184,699.0,1.0,11.0,0.38,5.0,363,4.0
4185,588.0,1.0,2.0,0.07,29.0,331,1.0
4186,700.0,1.0,14.0,0.49,5.0,361,8.0
4187,200.0,7.0,0.0,1.3,3.0,179,0.0
4188,649.0,1.0,29.0,1.02,5.0,363,16.0
4189,649.0,2.0,0.0,1.3,1.0,364,0.0
4190,200.0,1.0,16.0,0.57,3.0,265,14.0
4191,650.0,1.0,93.0,3.2,5.0,359,42.0
4192,724.0,1.0,3.0,0.1,2.0,365,2.0
4193,550.0,1.0,0.0,1.3,2.0,362,0.0
4194,300.0,14.0,7.0,0.25,2.0,60,1.0
4195,701.0,1.0,16.0,0.55,5.0,365,7.0
4196,200.0,15.0,0.0,1.3,2.0,362,0.0
4197,600.0,4.0,4.0,0.14,2.0,365,2.0
4198,1000.0,1.0,4.0,0.14,2.0,89,1.0
4199,650.0,1.0,5.0,0.82,1.0,351,5.0
4200,3800.0,30.0,0.0,1.3,1.0,180,0.0
4201,1500.0,1.0,10.0,0.35,2.0,0,4.0
4202,450.0,2.0,0.0,1.3,8.0,0,0.0
4203,500.0,2.0,19.0,0.68,8.0,0,14.0
4204,290.0,1.0,77.0,2.63,2.0,73,27.0
4205,290.0,1.0,3.0,0.1,2.0,293,0.0
4206,1800.0,4.0,0.0,1.3,1.0,0,0.0
4207,400.0,1.0,5.0,0.17,5.0,232,0.0
4208,350.0,1.0,12.0,0.42,1.0,87,9.0
4209,230.0,1.0,0.0,1.3,1.0,152,0.0
4210,595.0,1.0,1.0,0.07,7.0,355,0.0
4211,377.0,3.0,0.0,1.3,1.0,0,0.0
4212,450.0,1.0,1.0,0.08,1.0,180,0.0
4213,322.0,28.0,4.0,0.17,6.0,365,2.0
4214,500.0,1.0,7.0,0.24,5.0,202,0.0
4215,350.0,1.0,0.0,1.3,1.0,365,0.0
4216,960.0,2.0,10.0,0.34,4.0,139,5.0
4217,1000.0,2.0,0.0,1.3,9.0,179,0.0
4218,299.0,1.0,33.0,1.16,5.0,363,29.0
4219,702.0,1.0,25.0,0.87,6.0,270,9.0
4220,699.0,1.0,17.0,0.59,6.0,270,6.0
4221,800.0,1.0,51.0,1.77,7.0,357,27.0
4222,250.0,1.0,26.0,0.91,2.0,365,19.0
4223,250.0,2.9,2.0,0.07,3.0,365,0.0
4224,325.0,2.9,0.0,1.3,1.0,365,0.0
4225,350.0,1.0,13.0,0.48,3.0,179,11.0
4226,652.0,1.0,49.0,1.7,6.0,265,26.0
4227,450.0,2.0,2.0,0.09,1.0,142,0.0
4228,500.0,10.0,1.0,0.15,1.0,180,1.0
4229,500.0,2.0,5.0,0.17,4.0,362,0.0
4230,400.0,2.0,1.0,0.04,2.0,0,0.0
4231,500.0,2.0,7.0,0.24,4.0,365,0.0
4232,2000.0,1.0,0.0,1.3,1.0,83,0.0
4233,350.0,2.0,2.0,0.07,10.0,0,0.0
4234,651.0,1.0,80.0,2.77,6.0,270,23.0
4235,705.0,1.0,27.0,0.94,6.0,265,16.0
4236,850.0,3.0,1.0,0.03,1.0,180,0.0
4237,230.0,1.0,1.0,0.04,11.0,170,0.0
4238,250.0,1.0,1.0,0.04,1.0,180,0.0
4239,5000.0,30.0,0.0,1.3,1.0,365,0.0
4240,203.0,1.0,3.0,0.32,1.0,218,3.0
4241,590.0,1.0,9.0,2.33,1.0,78,9.0
4242,400.0,1.0,2.0,0.07,1.0,0,1.0
4243,811.0,7.0,0.0,1.3,1.0,365,0.0
4244,649.0,1.0,21.0,0.73,6.0,270,11.0
4245,360.0,2.0,2.0,0.07,10.0,0,0.0
4246,360.0,2.0,4.0,0.14,10.0,0,0.0
4247,365.0,2.0,5.0,0.18,10.0,0,0.0
4248,730.0,2.0,5.0,0.18,10.0,0,0.0
4249,550.0,1.0,0.0,1.3,1.0,180,0.0
4250,730.0,2.0,1.0,0.04,10.0,0,0.0
4251,250.0,3.0,13.0,1.11,3.0,267,13.0
4252,429.0,5.0,30.0,1.05,4.0,337,20.0
4253,400.0,1.0,0.0,1.3,1.0,90,0.0
4254,5070.0,1.0,0.0,1.3,1.0,365,0.0
4255,811.0,2.0,1.0,0.04,1.0,179,0.0
4256,796.0,1.0,26.0,0.93,6.0,347,22.0
4257,280.0,1.0,14.0,0.52,4.0,1,0.0
4258,650.0,2.0,3.0,0.1,1.0,179,1.0
4259,203.0,30.0,0.0,1.3,1.0,179,0.0
4260,800.0,1.0,1.0,0.04,1.0,180,0.0
4261,400.0,1.0,2.0,0.07,2.0,0,0.0
4262,450.0,2.0,15.0,0.53,1.0,352,10.0
4263,500.0,2.0,2.0,0.07,1.0,89,0.0
4264,450.0,2.0,17.0,0.6,3.0,65,13.0
4265,300.0,2.0,2.0,0.07,1.0,0,0.0
4266,200.0,1.0,1.0,0.04,1.0,90,0.0
4267,450.0,2.0,0.0,1.3,1.0,180,0.0
4268,250.0,30.0,0.0,1.3,2.0,365,0.0
4269,568.0,1.0,0.0,1.3,2.0,87,0.0
4270,285.0,1.0,9.0,0.32,4.0,298,2.0
4271,825.0,1.0,0.0,1.3,3.0,365,0.0
4272,200.0,1.0,3.0,0.11,1.0,80,0.0
4273,600.0,1.0,75.0,2.65,1.0,272,54.0
4274,545.0,1.0,6.0,0.47,1.0,289,5.0
4275,991.0,1.0,1.0,0.04,7.0,362,0.0
4276,300.0,2.0,0.0,1.3,1.0,364,0.0
4277,240.0,2.0,2.0,0.07,10.0,0,0.0
4278,499.0,1.0,3.0,0.23,1.0,179,0.0
4279,841.0,2.0,0.0,1.3,1.0,365,0.0
4280,398.0,3.0,47.0,1.68,4.0,365,33.0
4281,2353.0,30.0,0.0,1.3,1.0,365,0.0
4282,1900.0,3.0,0.0,1.3,9.0,140,0.0
4283,771.0,1.0,0.0,1.3,1.0,270,0.0
4284,250.0,7.0,0.0,1.3,1.0,365,0.0
4285,290.0,2.0,1.0,1.0,3.0,180,1.0
4286,363.0,30.0,0.0,1.3,1.0,294,0.0
4287,950.0,3.0,0.0,1.3,1.0,179,0.0
4288,950.0,3.0,1.0,0.04,3.0,89,0.0
4289,1431.0,1.0,33.0,1.17,5.0,172,28.0
4290,550.0,1.0,2.0,2.0,1.0,89,2.0
4291,450.0,2.0,2.0,0.07,4.0,172,0.0
4292,249.0,1.0,14.0,0.66,3.0,264,0.0
4293,203.0,1.0,11.0,0.39,1.0,364,3.0
4294,2500.0,1.0,0.0,1.3,1.0,179,0.0
4295,699.0,3.0,18.0,0.65,7.0,192,4.0
4296,305.0,2.0,4.0,0.51,8.0,171,4.0
4297,1500.0,1.0,0.0,1.3,2.0,155,0.0
4298,451.0,1.0,37.0,2.5,2.0,343,34.0
4299,240.0,10.0,5.0,0.18,3.0,355,1.0
4300,450.0,1.0,27.0,0.99,1.0,168,12.0
4301,230.0,5.0,9.0,0.32,5.0,90,6.0
4302,399.0,1.0,5.0,0.18,1.0,80,4.0
4303,199.0,60.0,0.0,1.3,1.0,179,0.0
4304,300.0,4.0,0.0,1.3,1.0,81,0.0
4305,317.0,3.0,7.0,0.25,2.0,297,4.0
4306,350.0,2.0,0.0,1.3,2.0,364,0.0
4307,406.0,5.0,0.0,1.3,1.0,179,0.0
4308,419.0,1.0,44.0,2.74,20.0,85,33.0
4309,529.0,14.0,2.0,0.07,6.0,356,0.0
4310,800.0,3.0,0.0,1.3,2.0,363,0.0
4311,799.0,1.0,1.0,0.13,6.0,364,1.0
4312,550.0,1.0,0.0,1.3,3.0,179,0.0
4313,913.0,2.0,2.0,0.07,1.0,179,1.0
4314,7500.0,1.0,0.0,1.3,1.0,179,0.0
4315,250.0,1.0,1.0,0.04,1.0,179,0.0
4316,230.0,1.0,118.0,4.2,2.0,53,52.0
4317,350.0,1.0,2.0,0.07,2.0,0,0.0
4318,400.0,1.0,7.0,0.25,2.0,171,2.0
4319,203.0,30.0,1.0,1.0,1.0,81,1.0
4320,850.0,1.0,0.0,1.3,1.0,179,0.0
4321,350.0,1.0,1.0,0.26,2.0,83,1.0
4322,480.0,3.0,0.0,1.3,1.0,261,0.0
4323,320.0,15.0,1.0,0.04,2.0,90,0.0
4324,5000.0,60.0,0.0,1.3,1.0,365,0.0
4325,450.0,1.0,31.0,1.15,5.0,363,22.0
4326,514.0,1.0,23.0,0.85,5.0,356,19.0
4327,214.0,1.0,27.0,0.96,8.0,38,25.0
4328,250.0,1.0,9.0,2.76,8.0,59,9.0
4329,2000.0,1.0,0.0,1.3,2.0,179,0.0
4330,1014.0,1.0,0.0,1.3,1.0,179,0.0
4331,999.0,1.0,13.0,0.88,5.0,365,11.0
4332,600.0,2.0,6.0,1.57,1.0,175,6.0
4333,550.0,2.0,0.0,1.3,3.0,364,0.0
4334,398.0,2.0,1.0,0.07,1.0,90,0.0
4335,800.0,1.0,0.0,1.3,1.0,364,0.0
4336,250.0,1.0,1.0,0.27,2.0,365,1.0
4337,1550.0,1.0,1.0,0.05,7.0,365,0.0
4338,212.0,1.0,10.0,0.36,8.0,39,9.0
4339,450.0,2.0,14.0,0.57,6.0,90,3.0
4340,507.0,1.0,10.0,0.36,6.0,320,1.0
4341,568.0,1.0,1.0,0.04,29.0,333,0.0
4342,231.0,2.0,3.0,0.11,1.0,27,2.0
4343,1800.0,1.0,1.0,0.09,1.0,0,1.0
