id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12864488,PENTHOUSE CUPULA. San Telmo,68850157,Carla,,Monserrat,-34.61093,-58.37417,Entire home/apt,43131,30,0,,,1,365,0,
13238797,excelente departamento luminoso apto dos personas,73833627,Nacho,,San Nicolas,-34.60373,-58.39162,Entire home/apt,3820,7,1,2018-01-30,0.02,1,358,0,
11888379,"Dept in San Telmo, good public transp, bars",63395033,Ana,,San Telmo,-34.61942,-58.37154,Entire home/apt,2834,3,45,2022-04-24,0.64,1,158,7,91159271879
12866755,STUDIO IN TOP LOCATION!,70349030,Marina,,Recoleta,-34.59399,-58.39169,Entire home/apt,1743,4,73,2021-12-06,1.29,1,19,4,
11892722,"SUNNY Apt in Palermo, Grill & PATIO",19183801,Ale,,Palermo,-34.57821,-58.43581,Entire home/apt,11091,2,4,2022-04-23,0.06,1,356,3,
13247794,Perfect location to enjoy Buenos Aires,53957112,Guillermo,,Retiro,-34.59593,-58.38094,Entire home/apt,3697,3,10,2017-05-12,0.15,1,356,0,
12870439,Trendy 1BR Apt - San Telmo's heart,3419464,Lucrecia,,San Telmo,-34.61901,-58.37265,Entire home/apt,4613,3,5,2017-12-15,0.08,1,363,0,
13257308,"Recoleta Sunny apartment. 1 bedrooms, great locat",39092434,Maria,,Recoleta,-34.58565,-58.40073,Private room,1363,4,7,2018-07-28,0.12,2,48,0,
11898261,Departamento Arte Contemporáneo Palermo Hollywood,1376140,Renata,,Palermo,-34.58317,-58.43895,Entire home/apt,6162,3,3,2022-04-08,0.07,1,362,1,
11900224,Moderno Apartamento en Buenos Aires,55553719,For Rent Argentina,,San Nicolas,-34.60621,-58.39078,Entire home/apt,7024,3,8,2022-06-05,0.11,118,343,1,
12871580,COSY & CHARMING APT. IN RECOLETA,2794693,Laura,,Recoleta,-34.59378,-58.40624,Entire home/apt,8010,3,34,2022-05-15,0.47,5,352,9,
11900383,Great little apartment in Palermo,5428370,Eugenia,,Palermo,-34.5809,-58.43192,Entire home/apt,3775,1,190,2022-06-16,2.49,8,303,66,
13263300,Excellent apartment in the heart of Palermo Soho,31103218,Sebastian,,Palermo,-34.58638,-58.42829,Entire home/apt,7147,2,11,2022-06-19,2.24,1,170,11,
12878526,"Buenos Aires, Puerto Madero, Departamento moderno",23268100,Marco,,Puerto Madero,-34.62224,-58.36246,Entire home/apt,5000,5,22,2022-03-31,0.31,5,65,4,
13270611,Unique 3br Penthouse with priv terrace ⭐️⭐️⭐️⭐️⭐️,1875949,Diego,,Palermo,-34.58593,-58.42494,Entire home/apt,49293,4,40,2022-05-27,0.57,67,244,11,
