id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42205209,"(5) Sunny city apt, perfectly close to EVERYTHING",307888271,Neos,,Miguel Hidalgo,19.41905,-99.17819,Entire home/apt,1424,2,31,2022-05-28,1.10,8,136,23,
42297098,Cozy room to relax,6373011,La Casita DF,,Iztapalapa,19.35853,-99.12301,Private room,568,1,0,,,2,87,0,
42297422,"En el ♥️ de la Roma, Internet 100mb/s, alberca, gym",1140427,Erick,,Cuauhtémoc,19.41896,-99.1723,Entire home/apt,1168,2,69,2022-06-04,2.43,10,332,42,
42298224,Cozy MiniRoom w/TV for 1 person (5m2/bed1.7mX0.8m),203806477,Jose Luis,,Benito Juárez,19.38022,-99.16042,Private room,285,1,9,2022-04-10,0.32,4,298,2,
42088057,Hotel El Greco... habitación sencilla,261582867,Hotel El Greco,,Álvaro Obregón,19.38767,-99.19386,Private room,825,1,0,,,3,365,0,
42298692,☺Bello Depto. Oh Oportunidad -20% en Julio-Agosto☺,284997200,Marta Ivon,,Benito Juárez,19.36625,-99.1564,Entire home/apt,580,1,107,2022-06-17,5.01,4,336,61,
42205665,Excellent location!!! /new POLANCO /EXCLUSIVE APT,230418890,Federico,,Miguel Hidalgo,19.44503,-99.20298,Entire home/apt,950,2,45,2021-10-23,1.90,1,0,6,
42090755,"Cozy, completely new steps away from Reforma",178427450,Rodrigo,,Cuauhtémoc,19.42921,-99.16898,Entire home/apt,2096,2,46,2022-05-30,1.61,12,356,25,
42299356,Honey Loft / Private roof garden.,94547651,Angel Jesus,,Coyoacán,19.34708,-99.15932,Entire home/apt,1500,1,31,2022-04-02,1.10,12,102,5,
42093395,"SUPER SEGURO(1)miniDEPA INDEPENDIENTE,UBICADÍSIMO",235572516,Angel,,Benito Juárez,19.38931,-99.18746,Entire home/apt,328,2,31,2022-05-23,1.12,3,85,24,
42299860,Moderno y Amplio Departamento con Amenidades,46055644,Niu-Living,,Benito Juárez,19.38589,-99.15441,Entire home/apt,1188,2,23,2022-01-16,0.81,19,339,15,
42299927,Bonito departamento en lugar tranquilo,336214601,Marco,,Benito Juárez,19.37081,-99.14979,Entire home/apt,650,4,93,2022-05-31,3.28,1,160,17,
42205701,(6) Privileged location! Next to CHAPULTEPEC PARK!,307888271,Neos,,Miguel Hidalgo,19.41745,-99.18035,Entire home/apt,1384,3,29,2022-05-22,1.03,8,100,20,
42205867,Departamento Viaducto y Troncoso,227214344,Ricardo,,Iztacalco,19.40485,-99.11425,Entire home/apt,891,2,21,2022-06-11,0.73,2,1,9,
42206155,(8) Stay right next to Chapultepec Park & Condesa!,307888271,Neos,,Miguel Hidalgo,19.41787,-99.17966,Entire home/apt,1366,3,13,2022-05-22,0.72,8,175,10,
42097145,Sun-filled loft in the heart of Condesa,115085433,Eduardo,,Cuauhtémoc,19.40788,-99.17584,Entire home/apt,1500,2,35,2022-05-31,1.29,1,246,32,
42206567,204 de Carola III,181156199,Juan Carlos,,Álvaro Obregón,19.38407,-99.19852,Private room,200,1,3,2021-04-07,0.11,1,80,0,
42300226,Departamento Chic Centrico y Seguro con Amenidades,46055644,Niu-Living,,Benito Juárez,19.38725,-99.14993,Entire home/apt,1280,2,23,2022-04-22,0.81,19,364,12,
42097804,"CDMX Paseo de la Reforma, 4personas. Súper cómodo",107468864,Juan Claudio,,Cuauhtémoc,19.43015,-99.16641,Entire home/apt,1224,1,44,2022-05-29,1.53,3,176,25,
42309831,Espacio Mac San Jerónimo,336311613,Montserrat,,La Magdalena Contreras,19.32064,-99.22289,Entire home/apt,1300,4,1,2020-02-21,0.04,1,180,0,
42207966,Confortable Habitación Privada en Polanco,223689623,German,,Miguel Hidalgo,19.44207,-99.1978,Private room,600,1,75,2022-06-11,2.65,1,272,54,
42099404,Hermoso Departamento frente al Parque México,290775985,Alberto,,Cuauhtémoc,19.4135,-99.16697,Entire home/apt,600,2,0,,,1,172,0,
42208096,Quiet room in Condesa. Pet friendly. Spacious APT.,64117924,Amalia,,Cuauhtémoc,19.40777,-99.17112,Private room,545,1,6,2022-05-31,0.47,1,289,5,
42216363,Departamento cómodo Muy Cercano al aeropuerto,260630677,Gustavo Antonio,,Venustiano Carranza,19.41666,-99.08008,Entire home/apt,481,1,89,2022-06-14,3.17,5,346,31,
42220947,"Exclusive, private terrace, quiet neighborhood",335333804,Alejandra,,Miguel Hidalgo,19.42795,-99.17635,Entire home/apt,1500,1,18,2022-06-03,0.63,1,55,5,
42310681,Increíble Depa a 2 cuadras de Insurgentes!!,336320112,Rosio,,Benito Juárez,19.3802,-99.17223,Entire home/apt,850,30,8,2020-11-17,0.28,1,80,0,
42312058,departamento confortable excelente ubicacion,336333090,Alfredo,,Iztacalco,19.40427,-99.07902,Entire home/apt,700,2,3,2020-03-16,0.11,1,220,0,
42314100,Departamento Completo en excelentes condiciones,168784077,Juan,,Iztacalco,19.37963,-99.12939,Entire home/apt,499,2,53,2022-06-15,1.87,1,351,31,
42101063,Amplia habitación con baño privado,52056042,Karla,,Benito Juárez,19.39779,-99.17223,Private room,991,1,1,2020-02-22,0.04,7,362,0,
42315908,Newly Renovated apt in front of Álvaro Obregón!!,27284978,Ruby,,Cuauhtémoc,19.42014,-99.15457,Entire home/apt,1101,15,4,2022-05-29,0.14,1,127,3,
42110283,"Conoce y disfruta de Cdmx, 15min del ángel",325909685,Felix Dalu,,Miguel Hidalgo,19.45367,-99.18452,Private room,300,2,0,,,1,364,0,
42222718,nice & cool apt. in the best location - Condesa :),100375038,Gabriel,,Cuauhtémoc,19.41505,-99.17126,Entire home/apt,900,2,54,2022-04-30,1.94,9,335,27,
42224080,Safe and beautiful apartment in CDMX,151524263,Josue,,Azcapotzalco,19.48598,-99.21671,Entire home/apt,500,5,29,2021-02-14,1.02,1,36,0,
42114780,View Coyoacan,112081751,Myriam,,Coyoacán,19.35141,-99.17644,Entire home/apt,913,2,65,2022-06-13,2.28,1,139,39,
42224609,Cómodo y Trendy Departamento con Amenidades,46055644,Niu-Living,,Benito Juárez,19.38607,-99.1504,Entire home/apt,1189,2,18,2022-05-01,0.92,19,349,9,
42224748,Exquisite & Cozy 2BR Apt w/Pool+Gym+Rooftop,335393886,Uliv,,Miguel Hidalgo,19.43801,-99.19981,Entire home/apt,1870,1,526,2022-06-18,18.61,11,358,307,
42225152,Habitación con baño entrada independiente Coyoacán,55669489,Jonathan,,Coyoacán,19.34381,-99.15992,Private room,240,2,2,2020-07-18,0.07,10,0,0,
42226980,B&B Xochimilco downtown,103098314,Eduardo,,Xochimilco,19.26574,-99.10715,Private room,499,1,3,2021-06-12,0.23,1,179,0,
42316023,Loft San Jeromino,336418158,Elisa Josefina,,La Magdalena Contreras,19.32811,-99.22034,Entire home/apt,1200,1,0,,,1,365,0,
42317344,Recámara hermosa al sur de la ciudad,336459980,Lizbeth,,Benito Juárez,19.36163,-99.16052,Private room,841,2,0,,,1,365,0,
42317998,Habitación Hipódromo Condesa,78456925,Joaquin,,Cuauhtémoc,19.40372,-99.16988,Private room,398,3,47,2022-06-14,1.68,4,365,33,
42329864,Habitaciones estudiantes fuentes brotantes,336479023,Dulce Carolina,,Tlalpan,19.29042,-99.17511,Private room,2353,30,0,,,1,365,0,
42334575,Two apartments 6Bed|4Bath CDMX Historic Center,6573910,Cristina,,Cuauhtémoc,19.43875,-99.1476,Entire home/apt,2350,1,4,2022-05-23,0.14,13,116,2,
